MPG,Cilindraje,Desplazamiento,Caballos de fuerza,Peso,Aceleracion,Año modelo
1.2278867046136734,8,350.0,155.0,4360,14.9,9
1.4313637641589874,4,151.0,90.0,2950,17.3,12
1.3996737214810382,4,140.0,88.0,2720,15.4,8
1.1139433523068367,8,400.0,190.0,4422,12.5,2
1.421603926869831,4,140.0,88.0,2870,18.1,10
1.5365584425715302,4,98.0,65.0,2045,16.2,11
1.3979400086720377,4,113.0,95.0,2228,14.0,1
1.3222192947339193,4,122.0,86.0,2226,16.5,2
1.4065401804339552,4,140.0,89.0,2755,15.8,7
1.146128035678238,8,302.0,140.0,4638,16.0,4
1.4955443375464486,4,120.0,75.0,2542,17.5,10
1.209515014542631,6,163.0,133.0,3410,15.8,8
1.505149978319906,4,144.0,96.0,2665,13.9,12
1.2787536009528289,3,70.0,97.0,2330,13.5,2
1.6344772701607315,4,90.0,48.0,1985,21.5,8
1.5440680443502757,4,72.0,69.0,1613,18.0,1
1.1139433523068367,8,440.0,215.0,4735,11.0,3
1.5171958979499742,4,119.0,100.0,2615,14.8,11
1.3424226808222062,6,232.0,112.0,2835,14.7,12
1.4471580313422192,4,112.0,88.0,2605,19.6,12
1.3138672203691535,6,231.0,105.0,3380,15.8,8
1.287801729930226,8,318.0,140.0,3735,13.2,8
1.1760912590556813,8,429.0,198.0,4341,10.0,0
1.146128035678238,8,304.0,150.0,4257,15.5,4
1.4471580313422192,4,97.0,92.0,2288,17.0,2
1.561101383649056,5,121.0,67.0,2950,19.9,10
1.255272505103306,6,250.0,88.0,3021,16.5,3
1.4471580313422192,4,116.0,90.0,2123,14.0,1
1.414973347970818,4,96.0,69.0,2189,18.0,2
1.5954962218255742,4,85.0,70.0,2070,18.6,8
1.380211241711606,6,200.0,81.0,3012,17.6,6
1.2430380486862944,8,305.0,145.0,3880,12.5,7
1.6180480967120927,4,98.0,76.0,2144,14.7,10
1.3617278360175928,8,350.0,125.0,3900,17.4,9
1.1760912590556813,6,250.0,72.0,3432,21.0,5
1.1760912590556813,8,304.0,150.0,3892,12.5,2
1.255272505103306,6,225.0,105.0,3121,16.5,3
1.255272505103306,3,70.0,90.0,2124,13.5,3
1.510545010206612,4,107.0,72.0,2290,17.0,10
1.2304489213782739,8,302.0,140.0,3449,10.5,0
1.6374897295125106,4,90.0,48.0,2335,23.7,10
1.4345689040341987,4,141.0,71.0,3190,24.8,9
1.2041199826559248,8,351.0,149.0,4335,14.5,7
1.2671717284030137,8,360.0,150.0,3940,13.0,9
1.4756711883244296,4,98.0,65.0,2380,20.7,11
1.2671717284030137,6,250.0,98.0,3525,19.0,7
1.568201724066995,4,85.0,65.0,1975,19.4,11
1.1760912590556813,6,250.0,72.0,3158,19.5,5
1.5526682161121932,4,98.0,80.0,1915,14.4,9
1.462397997898956,4,135.0,84.0,2525,16.0,12
1.3783979009481377,4,119.0,97.0,2405,14.9,8
1.61066016308988,4,85.0,65.0,2110,19.2,10
1.2304489213782739,8,305.0,130.0,3840,15.4,9
1.2833012287035497,6,231.0,105.0,3535,19.2,8
1.3117538610557542,6,225.0,100.0,3430,17.2,8
1.5314789170422551,4,108.0,70.0,2245,16.9,12
1.4487063199050798,4,141.0,80.0,3230,20.4,11
1.545307116465824,4,81.0,60.0,1760,16.1,11
1.1760912590556813,8,383.0,170.0,3563,10.0,0
1.2430380486862944,6,250.0,110.0,3520,16.4,7
1.3617278360175928,4,120.0,97.0,2506,14.5,2
1.2787536009528289,6,250.0,100.0,3282,15.0,1
1.2576785748691846,8,302.0,139.0,3205,11.2,8
1.505149978319906,4,85.0,70.0,1990,17.0,6
1.2304489213782739,6,231.0,110.0,3907,21.0,5
1.146128035678238,8,318.0,150.0,4237,14.5,3
1.1139433523068367,8,350.0,175.0,4100,13.0,3
1.2787536009528289,4,122.0,85.0,2310,18.5,3
1.1139433523068367,8,351.0,158.0,4363,13.0,3
1.4313637641589874,4,140.0,86.0,2790,15.6,12
1.3424226808222062,4,140.0,72.0,2408,19.0,1
1.4065401804339552,4,122.0,96.0,2300,15.5,7
1.0413926851582251,8,350.0,180.0,3664,11.0,3
1.146128035678238,8,400.0,175.0,4385,12.0,2
1.2787536009528289,6,232.0,100.0,2634,13.0,1
1.3838153659804313,6,146.0,120.0,2930,13.8,11
1.4913616938342726,4,119.0,82.0,2720,19.4,12
1.4913616938342726,4,112.0,85.0,2575,16.2,12
1.0413926851582251,8,318.0,210.0,4382,13.5,0
1.255272505103306,4,121.0,112.0,2933,14.5,2
1.414973347970818,4,97.0,75.0,2265,18.2,7
1.2041199826559248,6,250.0,100.0,3278,18.0,3
1.3010299956639813,6,198.0,95.0,3102,16.5,4
1.146128035678238,8,351.0,153.0,4129,13.0,2
1.5250448070368452,4,151.0,90.0,2556,13.2,9
1.146128035678238,8,318.0,150.0,4077,14.0,2
1.462397997898956,4,90.0,70.0,1937,14.2,6
1.3747483460101038,3,70.0,100.0,2420,12.5,10
1.255272505103306,6,225.0,105.0,3613,16.5,4
1.146128035678238,8,351.0,148.0,4657,13.5,5
1.469822015978163,4,97.0,71.0,1825,12.2,6
1.5185139398778875,4,91.0,53.0,1795,17.5,5
1.3010299956639813,4,97.0,88.0,2279,19.0,3
1.4913616938342726,4,71.0,65.0,1773,19.0,1
1.255272505103306,6,232.0,100.0,3288,15.5,1
1.3979400086720377,4,140.0,92.0,2572,14.9,6
1.5250448070368452,4,98.0,83.0,2075,15.9,7
1.414973347970818,4,97.0,46.0,1950,21.0,3
1.414973347970818,4,98.0,90.0,2265,15.5,3
1.5563025007672873,4,107.0,75.0,2205,14.5,12
1.4593924877592308,6,173.0,115.0,2595,11.3,9
1.3424226808222062,4,108.0,94.0,2379,16.5,3
1.4313637641589874,4,97.0,88.0,2100,16.5,2
1.5809249756756194,4,89.0,60.0,1968,18.8,10
1.505149978319906,4,83.0,61.0,2003,19.0,4
1.3117538610557542,6,231.0,105.0,3425,16.9,7
1.462397997898956,4,97.0,78.0,1940,14.5,7
1.3010299956639813,4,130.0,102.0,3150,15.7,6
1.255272505103306,6,232.0,100.0,2789,15.0,3
1.462397997898956,4,85.0,52.0,2035,22.2,6
1.146128035678238,8,454.0,220.0,4354,9.0,0
