NOMBRE,TIPO ELECCIÓN,ENTIDAD,CIRCUNSCRIPCIÓN,E-MAIL,PARTIDO,ESCOLARIDAD,ADHERENTE,APROBADAS,DE GRUPO,APROBADAS,I. INICIANTE,A. INICIANTE,DG,A.DG,TOTAL APROBADAS,TOTAL INICIATIVAS
Dip. Pedro Daniel Abasolo Sánchez,Representación proporcional,México ,5 ,pedro.abasolo@diputados.gob.mx ,Morena,Secundaria,1 ,0,15 ,10,0,0,0,0,10,16
Dip. Brasil Alberto Acosta Peña,Representación proporcional,México ,5 ,brasil.acosta@diputados.gob.mx ,Pri,Doctorado,43 ,5,1 ,0,1 ,0,0,0,5,45
Dip. Miguel Acundo González,Mayoría Relativa,Puebla ,1 ,miguel.acundo@diputados.gob.mx ,Encuentro,Ninguna,11 ,1,6 ,1,6 ,0,1 ,1,3,24
Dip. Marco Antonio Adame Castillo,Representación proporcional,Morelos ,4 ,marco.adame@diputados.gob.mx ,pan,Maestría,90 ,6,27 ,2,6 ,0,2 ,0,8,125
Dip. Heriberto Marcelo Aguilar Castillo,Mayoría Relativa,Sonora ,4 ,heriberto.aguilar@diputados.gob.mx ,Morena,Licenciatura,7 ,0,15 ,10,0,0,1 ,0,10,23
Dip. Ricardo Aguilar Castillo,Mayoría Relativa,México ,1 ,raguilar.castillo@diputados.gob.mx ,Pri,Licenciatura,45 ,2,1 ,0,3 ,0,1 ,0,2,50
Dip. Bonifacio Aguilar Linda,Mayoría Relativa,Veracruz ,18 ,bonifacio.aguilar@diputados.gob.mx ,Morena,Secundaria,9 ,1,15 ,10,0,0,0,0,11,24
Dip. Leticia Arlett Aguilar Molina,Mayoría Relativa,Chiapas ,9 ,leticia.aguilar@diputados.gob.mx ,Morena,Pasante,3 ,0,15 ,10,2 ,1,0,0,11,20
Dip. Marcos Aguilar Vega,Representación proporcional,Querétaro ,2 ,marcos.aguilar@diputados.gob.mx ,pan,Maestría,91 ,6,27 ,2,2 ,0,3 ,0,8,123
Dip. Adriana Aguilar Vázquez,Representación proporcional,San Luis Potosí ,2 ,aaguilar.vazquez@diputados.gob.mx ,Morena,Secundaria,20 ,1,15 ,10,0,0,0,0,11,35
Dip. Sebastián Aguilera Brenes,Representación proporcional,Chihuahua ,1 ,sebastian.aguilera@diputados.gob.mx ,Morena,Auxiliar Jurídico,3 ,0,15 ,10,1 ,1,0,0,11,19
Dip. Maribel Aguilera Chairez,Mayoría Relativa,Durango ,3 ,maribel.aguilera@diputados.gob.mx ,Morena,,1 ,0,15 ,10,0,0,0,0,10,16
Dip. José Guadalupe Aguilera Rojas,Mayoría Relativa,Michoacán ,11 ,josegpe.aguilera@diputados.gob.mx ,d01,,13 ,0,41 ,1,7 ,0,2 ,0,1,63
Dip. Aleida Alavez Ruiz,Mayoría Relativa,Ciudad de México ,19 ,aleida.alavez@diputados.gob.mx ,Morena,Licenciatura,1 ,0,15 ,10,3 ,0,0,0,10,19
Dip. Abril Alcalá Padilla,Mayoría Relativa,Jalisco ,8 ,abril.alcala@diputados.gob.mx ,d01,Doctorado,9 ,2,38 ,1,2 ,0,3 ,0,3,52
